50,225,0,4
300,250,5,3
575,50,8,1
1462,350,10,4
1900,125,15,2
2112,225,18,5
2375,213,23,1
2612,225,25,3
2900,125,29,2
3037,188,32,3
3325,175,36,2
3525,63,38,1
4425,238,40,3
4700,213,44,3
4962,163,48,4
5175,150,53,3
5350,288,57,3
5662,25,60,1
6537,213,60,4
6812,250,65,5
7100,50,70,1
7987,213,72,4
8225,163,77,2
8412,325,80,3
8800,188,83,1
9000,238,85,3
9287,138,89,2
9450,200,92,4
9687,250,97,3
9962,50,100,1
10837,175,102,3
11062,225,106,3
11325,163,110,4
11512,225,115,3
11775,213,119,4
12025,188,124,3
12250,288,128,3
12562,25,131,1
13425,213,131,3
13712,150,135,3
13950,125,139,4
14150,125,144,2
14312,225,147,3
14612,213,150,1
14837,275,152,3
15150,25,155,1
16012,225,155,4
16262,150,160,2
16500,113,163,2
16675,175,166,4
16900,200,171,3
17150,213,175,5
17412,288,181,3
17762,13,184,1
18612,188,186,3
18875,325,190,3
19212,25,193,1
20062,363,193,4
20500,125,198,2
20725,125,201,2
20887,188,204,2
21100,213,207,4
21325,238,212,5
21587,63,217,1
22500,200,217,4
22775,138,222,3
22925,188,226,2
23200,300,229,3
23537,13,232,1
24387,213,234,3
24662,213,238,3
24887,175,242,4
25100,225,247,3
25337,163,251,3
25562,225,255,4
25825,13,259,1
26675,300,259,4
27050,175,264,3
27275,138,268,3
27475,138,272,3
27650,150,276,4
27812,163,281,3
28037,163,285,4
28237,50,289,1
29125,163,289,2
29325,213,292,4
29600,188,297,3
29812,163,301,2
30037,113,304,5
30212,175,310,4
30412,288,315,3
30725,25,318,1
31587,238,318,3
31837,150,322,2
32050,225,325,3
32312,25,328,1
