49,225,0,4
292,250,5,3
560,50,8,1
1424,350,10,4
1851,125,15,2
2057,225,18,5
2314,213,23,1
2544,225,25,3
2825,125,29,2
2958,188,32,3
3239,175,36,2
3434,63,38,1
4310,238,40,3
4578,213,44,3
4834,163,48,4
5041,150,53,3
5212,288,57,3
5515,25,60,1
6368,213,61,4
6636,250,66,5
6916,50,71,1
7780,213,73,4
8012,163,78,2
8194,325,81,3
8572,188,84,1
8767,238,86,3
9047,138,90,2
9205,200,93,4
9436,250,98,3
9704,50,101,1
10556,175,103,3
10776,225,107,3
11032,163,111,4
11214,225,116,3
11470,213,120,4
11714,188,125,3
11933,288,129,3
12237,25,132,1
13078,213,133,3
13357,150,137,3
13589,125,141,4
13784,125,146,2
13942,225,149,3
14234,213,152,1
14453,275,154,3
14758,25,157,1
15598,225,158,4
15841,150,163,2
16073,113,166,2
16243,175,169,4
16463,200,174,3
16706,213,178,5
16961,288,184,3
17302,13,187,1
18130,188,189,3
18386,325,193,3
18715,25,196,1
19543,363,197,4
19969,125,202,2
20189,125,205,2
20346,188,208,2
20554,213,211,4
20773,238,216,5
21028,63,221,1
21918,200,222,4
22185,138,227,3
22332,188,231,2
22599,300,234,3
22928,13,237,1
23756,213,239,3
24024,213,243,3
24243,175,247,4
24450,225,252,3
24681,163,256,3
24900,225,260,4
25157,13,264,1
25985,300,265,4
26350,175,270,3
26569,138,274,3
26764,138,278,3
26934,150,282,4
27092,163,287,3
27311,163,291,4
27506,50,295,1
28371,163,296,2
28566,213,299,4
28834,188,304,3
29040,163,308,2
29260,113,311,5
29430,175,317,4
29625,288,322,3
29930,25,325,1
30769,238,326,3
31013,150,330,2
31220,225,333,3
31476,25,336,1
